"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 11:45:37 GMT 2021","Mon Jul 26 11:45:58 GMT 2021","20606","testproject.pytests","login_validators_test","","","","test_login_validator2",""
"passed","Mon Jul 26 11:45:58 GMT 2021","Mon Jul 26 11:46:32 GMT 2021","34243","testproject.pytests","login_validators_test","","","","test_login_validator3",""
"passed","Mon Jul 26 11:45:21 GMT 2021","Mon Jul 26 11:45:37 GMT 2021","15970","testproject.pytests","login_validators_test","","","","test_login_validator1",""
"passed","Mon Jul 26 11:43:57 GMT 2021","Mon Jul 26 11:44:52 GMT 2021","55301","testproject.pytests","blog_post_test","","","","test_mod_and_del_blog",""
"passed","Mon Jul 26 11:47:34 GMT 2021","Mon Jul 26 11:47:51 GMT 2021","16718","testproject.pytests","test_registration_pom","","","","test_reg_validators1",""
"passed","Mon Jul 26 11:43:05 GMT 2021","Mon Jul 26 11:43:57 GMT 2021","51314","testproject.pytests","blog_post_test","","","","test_new_blog",""
"passed","Mon Jul 26 11:47:09 GMT 2021","Mon Jul 26 11:47:34 GMT 2021","24786","testproject.pytests","test_registration_pom","","","","test_registration",""
"passed","Mon Jul 26 11:48:03 GMT 2021","Mon Jul 26 11:48:31 GMT 2021","28015","testproject.pytests","test_registration_pom","","","","test_reg_validators3",""
"passed","Mon Jul 26 11:44:52 GMT 2021","Mon Jul 26 11:44:58 GMT 2021","5960","testproject.pytests","homepage_test","","","","test_homepage_without_login",""
"passed","Mon Jul 26 11:46:55 GMT 2021","Mon Jul 26 11:47:09 GMT 2021","14388","testproject.pytests","test_cookie","TestCookie","","","test_cookie",""
"passed","Mon Jul 26 11:46:32 GMT 2021","Mon Jul 26 11:46:53 GMT 2021","20898","testproject.pytests","logout_test","","","","test_logout",""
"passed","Mon Jul 26 11:47:51 GMT 2021","Mon Jul 26 11:48:03 GMT 2021","12870","testproject.pytests","test_registration_pom","","","","test_reg_validators2",""
"failed","Mon Jul 26 11:44:58 GMT 2021","Mon Jul 26 11:45:21 GMT 2021","23191","testproject.pytests","login_test","","","","test_successful_login",""
